0,477
1,550
2,519
3,475
4,539
5,545
6,465
7,529
8,529
9,509
10,470
11,479
12,460
13,456
14,491
15,499
16,448
17,506
18,434
19,519
20,517
21,469
22,459
23,539
24,471
25,502
26,438
27,530
28,466
29,476
30,585
31,505
32,398
33,468
34,479
35,429
36,438
37,434
38,538
39,523
40,490
41,471
42,489
43,552
44,524
45,559
46,394
47,475
48,490
49,501
50,433
51,399
52,561
53,522
54,513
55,469
56,540
57,538
58,420
59,569
60,576
61,425
62,482
63,549
64,498
65,511
66,523
67,500
68,489
69,559
70,588
71,452
72,527
73,535
74,477
75,492
76,497
77,511
78,540
79,459
80,442
81,469
82,454
83,529
84,482
85,537
86,530
87,476
88,484
89,522
90,509
91,399
92,496
93,449
94,545
95,458
96,433
97,559
98,528
99,510
100,579
101,499
102,426
103,495
104,493
105,450
106,531
107,473
108,448
109,454
110,481
111,567
112,549
113,383
114,582
115,501
116,580
117,453
118,528
119,560
120,585
121,498
122,498
123,485
124,388
125,523
126,480
127,494
128,490
129,505
130,565
131,468
132,470
133,508
134,482
135,434
136,449
137,470
138,509
139,506
140,550
141,494
142,472
143,508
144,497
145,473
146,478
147,471
148,463
149,478
150,483
151,521
152,433
153,451
154,483
155,497
156,600
157,457
158,371
159,609
160,604
161,388
162,528
163,476
164,511
165,412
166,489
167,504
168,582
169,537
170,428
171,548
172,537
173,522
174,553
175,435
176,461
177,488
178,555
179,480
180,500
181,515
182,516
183,524
184,464
185,594
186,517
187,467
188,487
189,444
190,463
191,461
192,402
193,422
194,572
195,523
196,510
197,472
198,509
199,503
